x,Flaps Up,Flaps 1,Flaps 5,Flaps 10,Flaps 20,Flaps 25,Flaps 30
12.45819398,-0.120032474,-0.162642235,-0.213226191,-0.211529877,-0.271718928,-0.296548335,-0.399267653
12.55852843,-0.120825838,-0.163846481,-0.215668904,-0.214809953,-0.274138952,-0.299218356,-0.401411165
12.65886288,-0.121619202,-0.165050727,-0.218111617,-0.218090028,-0.276586204,-0.30178698,-0.403507168
12.75919732,-0.122412565,-0.166254973,-0.22055433,-0.221370103,-0.279007891,-0.304098848,-0.405506284
12.85953177,-0.123193724,-0.167417148,-0.222985861,-0.224671135,-0.281426775,-0.306388991,-0.407496983
12.95986622,-0.123900619,-0.168359361,-0.225349506,-0.228097377,-0.283845659,-0.308679134,-0.409487681
13.06020067,-0.124538026,-0.169336757,-0.227616536,-0.231690607,-0.286264544,-0.310969277,-0.411478379
13.16053512,-0.125166876,-0.170320162,-0.22987004,-0.235305865,-0.288683428,-0.31325942,-0.413469077
13.26086957,-0.125795726,-0.171303567,-0.232123543,-0.238921122,-0.291102312,-0.315549564,-0.415459775
13.36120401,-0.126424575,-0.172286972,-0.234377047,-0.242536379,-0.293521196,-0.317839707,-0.417450474
13.46153846,-0.127053425,-0.173270376,-0.236630551,-0.246151636,-0.29594008,-0.32012985,-0.419441172
13.56187291,-0.127682275,-0.174253781,-0.238884054,-0.249766894,-0.298358965,-0.322419993,-0.42143187
13.66220736,-0.128342304,-0.175374483,-0.241045435,-0.253519941,-0.300758619,-0.324721862,-0.423413121
13.76254181,-0.12900591,-0.176510937,-0.243196245,-0.257288799,-0.302927728,-0.327124168,-0.425241225
13.86287625,-0.129669517,-0.177647392,-0.245347056,-0.261057656,-0.30498839,-0.329536148,-0.426923187
13.9632107,-0.130410323,-0.178915276,-0.247466939,-0.264328855,-0.307049052,-0.331948129,-0.428605148
14.06354515,-0.131203732,-0.180274424,-0.249566514,-0.267234919,-0.309109714,-0.33436011,-0.430287109
14.1638796,-0.131997141,-0.181633573,-0.251666089,-0.270140982,-0.311170375,-0.336772091,-0.43196907
14.26421405,-0.13279055,-0.182992721,-0.253765664,-0.273047046,-0.313231037,-0.339184072,-0.433651032
14.36454849,-0.133583959,-0.184351869,-0.255865238,-0.275953109,-0.315291699,-0.341596052,-0.435332993
14.46488294,-0.134373106,-0.185868151,-0.257920397,-0.277769145,-0.317352361,-0.344008033,-0.437014954
14.56521739,-0.135161866,-0.187398699,-0.259971523,-0.279486213,-0.319413023,-0.346420014,-0.438696915
14.66555184,-0.135950625,-0.188929248,-0.262022649,-0.28120328,-0.321473685,-0.348831995,-0.440378876
14.76588629,-0.136739385,-0.190459797,-0.264073776,-0.282920348,-0.323532717,-0.35119758,-0.442010374
14.86622074,-0.137528145,-0.191990345,-0.266124902,-0.284637416,-0.325592225,-0.353334275,-0.443393487
14.96655518,-0.138239209,-0.193547086,-0.268145727,-0.285893111,-0.32771871,-0.35535326,-0.444590862
15.06688963,-0.138856226,-0.195194014,-0.270117436,-0.286884943,-0.329857077,-0.357351652,-0.44575341
15.16722408,-0.139473243,-0.196840942,-0.272089145,-0.287876776,-0.331995443,-0.359350044,-0.446915958
15.26755853,-0.14009026,-0.198487871,-0.274060854,-0.288868608,-0.334133809,-0.361348436,-0.448078507
15.36789298,-0.140707277,-0.200134799,-0.276032563,-0.28986044,-0.336272176,-0.363346828,-0.449241055
15.46822742,-0.141316464,-0.20206554,-0.277906483,-0.290740729,-0.338410542,-0.365345221,-0.450403603
15.56856187,-0.141920608,-0.204179082,-0.279717419,-0.291549175,-0.340548908,-0.367343613,-0.451566151
15.66889632,-0.142524752,-0.206292623,-0.281528354,-0.29235762,-0.342687275,-0.369342005,-0.452728699
15.76923077,-0.143128896,-0.208406165,-0.283339289,-0.293166066,-0.344825641,-0.371340397,-0.453891247
