x,Up,1,5,10,20,25,30
11.9534,0.167231,0.189109,0.205054,0.215611,0.193723,0.159795,0.050721
11.9546,0.167239,0.189113,0.205056,0.215611,0.193716,0.159768,0.050686
11.9623,0.167294,0.189144,0.205074,0.215611,0.19367,0.159584,0.050443
11.965,0.167313,0.189155,0.20508,0.215611,0.193653,0.15952,0.050357
11.9658,0.167319,0.189158,0.205082,0.215611,0.193648,0.159501,0.050331
12.449,0.170968,0.191299,0.20588,0.215051,0.189892,0.147748,0.033833
12.4538,0.170992,0.191318,0.205886,0.215042,0.189852,0.147621,0.03368
12.4587,0.171017,0.191338,0.205892,0.215031,0.189811,0.147489,0.033522
12.4607,0.171028,0.191346,0.205895,0.215027,0.189794,0.147435,0.033457
12.4695,0.171071,0.191381,0.205906,0.215008,0.189722,0.1472,0.033178
12.4698,0.171072,0.191382,0.205906,0.215008,0.189719,0.147192,0.033169
12.4746,0.171095,0.191402,0.205913,0.214997,0.189679,0.14706,0.033014
12.945,0.172359,0.192769,0.206045,0.213742,0.185789,0.133412,0.018721
12.9583,0.1724,0.192796,0.206026,0.213701,0.18567,0.133052,0.018289
12.9661,0.172424,0.192812,0.206014,0.213677,0.1856,0.132842,0.018033
12.9674,0.172429,0.192815,0.206012,0.213673,0.185588,0.132806,0.017989
12.9683,0.172432,0.192816,0.20601,0.21367,0.18558,0.132781,0.017959
12.9744,0.172452,0.192829,0.206,0.213651,0.185525,0.132618,0.017757
12.977,0.172461,0.192834,0.205996,0.213643,0.185501,0.132549,0.017671
13.4381,0.1746,0.193465,0.204397,0.211988,0.180991,0.12056,0.000619
13.4698,0.174737,0.193487,0.204236,0.211851,0.180683,0.119671,-0.000546
13.4785,0.174773,0.193493,0.204191,0.211813,0.180599,0.119423,-0.000863
13.4789,0.174775,0.193493,0.204189,0.211811,0.180595,0.119412,-0.000878
13.4801,0.17478,0.193494,0.204182,0.211805,0.180583,0.119377,-0.000923
13.4817,0.174786,0.193495,0.204174,0.211799,0.180568,0.119334,-0.000978
13.4843,0.174797,0.193497,0.20416,0.211787,0.180543,0.119256,-0.001076
13.9667,0.175899,0.193746,0.20139,0.209317,0.17597,0.103935,-0.018212
13.9722,0.175905,0.193752,0.20136,0.209286,0.175913,0.103757,-0.018415
13.9742,0.175907,0.193753,0.20135,0.209275,0.175893,0.103695,-0.018487
13.9783,0.175912,0.193757,0.201329,0.209252,0.175851,0.103566,-0.018636
13.9784,0.175912,0.193758,0.201328,0.209251,0.17585,0.103562,-0.018641
13.9839,0.175918,0.193763,0.2013,0.20922,0.175793,0.103387,-0.018843
13.9872,0.175921,0.193766,0.201283,0.209201,0.175759,0.103282,-0.018965
14.446,0.176245,0.194565,0.199346,0.206498,0.17058,0.089886,-0.036784
14.4645,0.176254,0.194605,0.199277,0.206387,0.170362,0.089371,-0.037522
14.469,0.176257,0.194615,0.19926,0.206359,0.170308,0.089243,-0.037704
14.4712,0.176258,0.194619,0.199252,0.206347,0.170283,0.089184,-0.037789
14.4761,0.17626,0.19463,0.199234,0.206317,0.170224,0.089045,-0.037988
14.4775,0.176261,0.194633,0.199228,0.206308,0.170208,0.089006,-0.038045
14.4781,0.176261,0.194634,0.199226,0.206305,0.170202,0.088991,-0.038066
